aaab 昌明
heycb 殷商
heyck 復交
heycm 後遺症
heydl 復新
heyg 後主
heyhs 後邊
heyhs 後方
heyid 毀棄
heyjb 反覆辯論
heykk 後效
heylb 後市
heyly 島瘦郊寒
heymp 彼此
heymr 後言
heyog 後進
heypc 後龍鎮
heypk 後龍溪
heyre 後設
heyrh 復診
heyrj 後計
heyrn 反諷
heyrr 反詰
heyrs 毀謗
heyrt 反證
heyru 後記
heyry 反訴
heytb 後端
heytu 反逆
heyup 移緩就急
heyvb 後裔
hfa 烏日
hfa 秋日
hfags 自不量力
hfaun 烏焦巴弓
hfbaj 秣馬脂車
hfbbe 篤愛
hfbbg 烏骨雞
hfbcj 烏賊
hfblb 烏腳病
hfbsq 舉不勝舉
hfbuk 鳥瞰
hfc 烏金
hfchk 身無分文
hfcsh 秋分
hfcuc 特寫鏡頭
hfd 烏木
hfdci 鳥松
hfdig 身無寸鐵
hfdiv 身無寸縷
hfdoo 烏來
hfdoy 烏梅
hfdtv 籠鳥檻猿
hfdud 各不相謀
hfdup 積不相能
hfduv 各不相讓
hfe 秋水
hfede 秋波
hfedk 秋決
hfedy 烏梁海
hfefm 毀不滅性
hfegf 黎庶塗炭
hfem 烏江
hfend 熏染
hfeww 烏溜溜
hfeyd 秋海棠
hffkc 鳥類
hffkm 悉索敝賦
hfgcf 白魚赤烏
hfgej 鳥聲
hfgej 秋聲
hfgp 篤志
hfguo 爬不起來
hfhai 鵠的
hfhal 秋節
hfhbd 篤學
hfhdd 秋季
hfhfu 微察秋毫
hfhfw 兒孫自有兒孫福
hfhib 烏鳥私情
hfhip 自鳴得意
hfhj 秋千
hfhjd 自然科學
hfhlo 鳥爪
hfhlr 鵝卵石
hfhmb 看景生情
hfhmf 得馬生災
hfhnc 秣馬利兵
hfhni 秋風
hfhoe 秋後
hfhof 得馬失馬
hfhok 顧小失大
hfhom 行不從徑
hfhon 篤行
hfhos 鳧鶴從方
hfhov 笑罵從汝
hfhpn 穩紮穩打
hfhqu 鵝毛
hfhsm 秋扇
hfhue 鵝毛被
hfhue 風馬牛不相及
hfhug 自繇自在
hfhui 欣然自得
hfhuo 笨鳥先飛
hfhvv 鳥驚鼠竄
hfhxu 鳥兒
hfhyp 鳥籠
hficb 行不貳過
hfice 皁絲麻線
hfihs 秋成
hfiod 竹馬之好
hfioe 竹馬之友
hfiok 竹馬之交
hfiqu 鳳鳴麟出
hfisf 烏焉成馬
hfjbh 鳳鳴朝陽
hfjcb 鳥窩
hfjcn 白黑顛倒
hfjgm 失馬塞翁
hfjln 秋事
hfjmg 爨室
hfjmo 篤定
hfjpu 秋老虎
hfjty 禦寒
hfjub 身無完膚
hfjuw 烏克蘭
hfjwc 篤實
hfkb 烏有
hfkig 篡黨奪權
hfkof 篝火狐鳴
hflbn 息黥補劓
hflbo 得不補失
hflfr 牛馬襟裾
hflii 秋蟲
hflij 秋蟬
hflkd 簡絲數米
hflvk 系數
hflwg 身不由主
hflwm 行不由徑
hflwu 身不由己
hfmad 篤厚
hfmag 千災百難
hfmbc 秣馬厲兵
hfmbf 自然而然
hfmbi 烏雲
hfmbo 乘隙而入
hfmbu 秋霜
hfmbu 策駑礪鈍
hfmcl 稅熟貢新
hfmfb 烏鴉嘴
hfmfd 風景不殊
hfmfh 白黑不分
hfmfo 行為不檢
hfmfv 風馬不接
hfmgd 白馬王子
hfmgm 秋瑾
hfmhf 烏鴉
hfmhi 稍遜一籌
hfmij 風馬雲車
hfmjq 烏干達
hfmk 秋天
hfmkm 行不更名，坐不改姓
hfmlb 秋雨
hfmlo 得不酬失
hfmnn 系列
hfmnr 行不副言
hfmre 笑不可支
hfmrl 笑不可抑
hfmuo 自然現象
hfmyi 看不下去
hfnau 秋色
hfnd 毯子
hfnfc 鳥驚魚潰
hfnfd 烏魚子
hfnfk 鳥驚魚散
hfnfo 鳥驚魚駭
hfnfw 鳥焚魚爛
hfnlu 熏陶
hfnoc 策馬飛輿
hfnoi 鵝蛋
hfnoi 鳥蛋
hfnty 白魚登舟
hfnuh 毀不危身
hfnwf 烏魚
hfnxu 烏龜
hfo 鳥人
hfobo 熏肉
hfoco 得不償失
hfocv 得不償喪
hfofe 魏鵲無枝
hfofk 鳳鳴鶴唳
hfohh 千秋人物
hfohy 白魚入舟
hfolh 纂修
hfolk 鵠候
hfomr 烏合
hfond 鳥氣
hfond 秋氣
hfong 失驚倒怪
hfooy 禦侮
hford 先小人後君子
hfoyr 篤信
hfplh 顧景慚形
hfpyr 翻然悔悟
hfqak 射魚指天
hfqcg 行為責任
hfqjn 身無擇行
hfqlo 得馬折足
hfqng 失驚打怪
hfqng 乘熱打鐵
hfqpl 烏托邦
hfqrd 自然哲學
hfqtg 烏拉圭
hfqtj 烏拉草
hfqtu 烏拉山
hfqum 乘隙搗虛
hfrfd 風不鳴條
hfrhf 鳥鳴
hfrkk 鳥獸散
hfrkr 鵝口瘡
hfrou 微不足道
hfrou 卑不足道
hfrrk 鳥獸
hfrsn 乘鸞跨鳳
hfryb 鳥嘴
hfseu 行不履危
hfskw 翻然改圖
hfsky 翻然改悔
hfsvh 身無長物
hftbh 千秋萬歲
hftbp 千秋萬代
hftbr 瓜熟蒂落
hftbr 千秋萬古
hftbt 千秋萬世
hftbv 千絲萬縷
hftcg 各為其主
hftim 悉索薄賦
hftmc 鵝黃
hftpd 秋葉
hftrr 行不苟合
hftuh 街談巷諺
hftui 街談巷議
hftur 街談巷語
hftuu 街談巷說
hfu 秋山
hfumc 烏山頭
hfvcl 鵝鑾鼻
hfvdb 利災樂禍
hfver 印累綬若
hfvfj 鵝絨
hfvfl 鵝鸞鼻
hfvfu 系統
hfvhu 烏紗帽
hfviu 興滅繼絕
hfviv 秋娘
hfvlk 秋收
hfvnn 盤馬彎弓
hfvoc 魏紫姚黃
hfvrp 生不如死
hfvsb 爨婦
hfvum 系統性
hfvup 系統化
hfvvd 鳥巢
hfwfc 重熙累績
hfwfd 重熙累葉
hfwfr 重熙累洽
hfwft 重熙累盛
hfwfx 積素累舊
hfwgf 烏黑
hfwko 香火因緣
hfwp 秋思
hfybg 鵠望
hfybi 看不過去
hfybi 身不遇時
hfybk 禦敵
hfycb 算無遺策
hfyct 策無遺算
hfygg 系主任
hfygi 自然主義
hfygm 稱不離錘
hfygp 秤不離鉈
hfyhc 秋顏
hfyhl 千秋歲引
hfyhu 自然步道
hfyjh 生不逢場
hfyji 生不逢時
hfyjv 生不逢辰
hfykq 歸馬放牛
hfyme 箭無虛發
hfyns 行不逾方
hfypd 烏龍茶
hfypg 得魚忘筌
hfypg 得魚忘荃
hfyru 烏亮
hfyru 秋毫
hfysk 系族
hfyt 鵠立
hfytg 身無立錐
hfytp 秋意
hfytu 鳥道
hfyum 御駕親征
hga 往日
hgabj 稚暉
hgage 重量級
hgagi 往時
hgaig 生理時鐘
hgalb 聳壑昂霄
hgamg 重量
hgank 爬羅剔抉
hgany 拜在門下
hgavf 牝雞晨鳴
hgbgh 鼠肚雞腸
hgbmi 皇冠
hgbne 物至則反
hgbq 雇用
hgbq 重用
hgbrp 白藋同心
hgbvb 鼻腫眼青
hgby 牡丹
hgbym 牡丹江
hgbyp 牡丹花
hgc 重金
hgcjc 重鎮
hgcsi 重金屬
hgdcv 筆墨橫姿
hgdgi 種樹
hgdhe 種皮
hgdhp 風裡楊花
hgdim 積基樹本
hgdio 身在林泉，心懷魏闕
hgdit 重機械
hgdjm 種植
hgdkm 重整
hgdoi 鳳皇來儀
hgdoo 重來
hgdoo 往來
hge 重水
hgeeb 竹煙波月
hgeij 德基水庫
hgeio 身在江湖，心存魏闕
hgeio 身在江湖，心懸魏闕
hgejc 重演
hgelw 重油
hgerf 物理治療
hgetq 重洋
hgfbb 往常
hgfbc 重賞
hgfkc 種類
hgfmu 重光
hgfoi 爨桂炊玉
hgg 皇土
hggir 稱王封后
hggoj 兒童走卒
hggou 種起
hggpd 種地
hggpd 重地
hghau 籬笆
hghba 稱王稱伯
hghbb 稱王稱霸
hghbu 乘堅策肥
hghdn 重利
hghdo 物理學家
hghdu 管理學院
hghdx 種稻
hghee 先難後獲
hghet 築室反耕
hghfd 鳥裡鳥氣
hghfu 千里鵝毛
hghgf 牝雞牡鳴
hghgi 重重的
hghhv 風塵物表
hghio 衡量得失
hghkp 重懲
hghky 徹裡徹外
hghlu 兒童節目
hghmr 皇后
hghoa 彷徨失措
hghoa 徬徨失措
hghoe 往復
hghoe 往後
hghog 往往
hghop 種德
hghpl 重印
hghq 種牛
hghqh 重物
hghqm 重生
hghqm 往生
hghqt 種牛痘
hghsg 籮筐
hghub 先聖先師
hghuu 後進先出
hgieb 重慶市
hgieb 聳壑凌霄
hgifj 毀鐘為鐸
hgifu 重視
hgiic 千里之隄，潰於蟻穴
hgijb 皇甫
hgilk 千里神交
hgilm 自主神經
hgimj 程式庫
hgimp 皇祖妣
hgimr 程式館
hgims 皇祖考
hginn 程序
hgioa 風塵之會
hgiod 筆墨之林
hgiof 風塵之驚
hgiog 千里之任
hgiog 白屋之士
hgioh 鼠雀之牙
hgioj 風塵之聲
hgioj 鼠雀之輩
hgiop 千里之志
hgior 風塵之言
hgior 風塵之警
hgios 後進之秀
hgiou 兒童之見
hgioy 千里之行，始於足下
hgipm 程式
hgiqd 鳳雛麟子
hgisp 積羞成怒
hgite 程度
hgiwn 兒童福利
hgixe 重慶
hgjeq 重擊
hgjfu 千里寄鵝毛
hgjik 循塗守轍
hgjis 黍離麥秀
hgjjb 皇朝
hgjka 往者
hgjkb 兒童教育
hgjkd 重孝
hgjkr 重寄
hgjks 皇考
hgjln 往事
hgjmg 皇室
hgjmo 皇家
hgjpe 後臺老板
hgjrr 皇宮
hgjrr 筆墨官司
hgjsm 特種考試
hgjwj 雇車
hgk 重大
hgkhu 重犯
hgkid 皇太子
hgkir 皇太后
hgkjd 烏煙瘴氣
hgkmb 重病
hgkmt 種痘
hgkn 重九
hgks 重力
hgkss 顧全大局
hglcb 管理費用
hglib 牡蠣
hglmn 重劃
hglo 風塵中人
hgloe 重複
hglwl 重申
hgm 雇工
hgm 重工
hgmci 重頭戲
hgmdo 鳳皇于飛
hgmfe 積重不反
hgmfe 積重不返
hgmgu 重現
hgmgy 徹裡至外
hgmk 皇天
hgmng 重型
hgmoa 種豬
hgmpn 生離死別
hgmrf 重碼
hgmtd 重工業
hgmtn 重刑
hgmtw 千里一曲
hgmuo 物理現象
hgmuo 得理不饒人
hgmvm 重要性
hgmwe 重覆
hgmwl 重酬
hgmwv 重要
hgmy 籬下
hgmy 種下
hgmy 往下
hgnbc 重負
hgnd 種子
hgnd 稚子
hgnd 程子
hgndf 重孫
hgndo 種子隊
hgnfe 箭在弦上不得不發
hgnfv 重孫女
hgnhl 重陽節
hgnim 箭在弦上
hgnir 重名
hgnkq 重建
hgnle 皇陵
hgnlh 重陽
hgnnw 簡截了當
hgnrr 千里名駒
hgnyh 風塵外物
hgo 種人
hgocw 後進領袖
hgofg 千里無煙
hgogo 行住坐臥
hgohg 重任
hgohn 重傷風
hgoiu 千里餽糧，士有饑色
hgojg 升堂入室
hgolh 重修
hgomc 重兵
hgomn 往例
hgomr 重合
hgond 稚氣
hgooh 重傷
hgooo 風塵僕僕
hgoos 重作
hgopb 風土人情
hgoq 往年
hgorn 重創
hgosb 生理作用
hgoti 程儀
hgoya 皇儲
hgoyt 皇位
hgp 重心
hgpgd 兒童心理學
hgphm 種性
hgqam 舉枉措直
hgqao 重提
hgqbc 犁庭掃穴
hgqhh 簸土揚沙
hgqhw 重播
hgqjl 鼻堊揮斤
hgqju 鵝王擇乳
hgqkk 重奏
hgqlr 往哲
hgqmc 重責
hgqmv 重振
hgqnr 重擔
hgqog 重挫
hgqor 重拾
hgqtn 科羅拉多
hgquu 稚拙
hgqvh 風塵表物
hgraa 重唱
hgrbc 雇員
hgrpb 風土民情
hgrrr 重器
hgrsn 種別
hgseb 千里駿骨
hgsfo 牛童馬走
hgsgp 重聽
hgsll 重臣
hgsmv 艇長
hgspc 牝牡驪黃
hgsqf 種馬
hgsrm 牝雞司旦
hgsrv 牝雞司晨
hgssv 乘堅驅良
hgta 往昔
hgtbc 重典
hgtbd 種菜
hgtbg 千難萬難
hgtbn 往前
hgtbo 千難萬險
hgtbr 千難萬苦
hgtge 積重難返
hgtge 積重難反
hgtgo 身在曹營心在漢
hgthr 竹籬茅舍
hgtik 千里蓴羹
hgtim 簡墨尊俎
hgtnd 後擁前呼
hgtop 種花
hgtrm 舉重若輕
hgtsh 笑裡藏刀
hgtwv 雇農
hgtxd 重理舊業
hguu 重出
hguuh 科班出身
hgv 稚女
hgvdk 稚嫩
hgvdw 兒童樂園
hgveq 千里姻緣一線牽
hgveq 千里姻緣使線牽
hgvfm 重組
hgvfu 皇統
hgvha 重婚
hgvil 風塵女郎
hgvkp 物理變化
hgvlc 物離鄉貴
hgvnd 風塵女子
hgvpp 皇妣
hgvrp 往往如此
hgvrr 千里結言
hgvxr 香閨繡閣
hgw 種田
hgwar 兒童圖書館
hgwdq 重圍
hgwfr 重點
hgwk 種因
hgwln 重罰
hgwly 重罪
hgwmm 重重疊疊
hgwmm 重珪疊組
hgwmo 先進國家
hgwpg 舉踵思望
hgwpp 舉踵思慕
hgwwm 重疊
hgybb 皇帝
hgybr 重望高名
hgych 兒童讀物
hgydl 重新
hgyfu 千里送鵝毛
hgyg 雇主
hgyhe 重返
hgyhe 往返
hgyhj 重逢
hgyjj 重辦
hgykd 兒童文學
hgylo 特種部隊
hgym 皇上
hgym 往上
hgymb 向壁虛構
hgymr 徒擁虛名
hgymr 向壁虛造
hgymu 稚齒
hgymu 重遷
hgypd 鳳狂龍躁
hgyrc 重讀
hgyrr 千里迢迢
hgysk 種族
hgysk 皇族
hgysy 重於
hgyta 重音
hgyud 築室道謀
hgyui 稚齡
hgywv 往還
hgyxu 等量齊觀
hgyyi 鳳皇於蜚
hhaa 竹簡
hhab 竹帛
hhafh 身影
hhal 竹節
hhbbe 身受
hhbbt 物體
hhbbt 身體
hhbbu 穢亂
hhbe 竹筒飯
hhbit 卑身賤體
hhbli 瓜分鼎峙
hhbr 竹筒
hhc 第八
hhcht 身分證
hhcir 貿易公司
hhcj 秒針
hhcop 物慾
hhcro 物欲
hhcsh 身分
hhcyg 秒鐘
hhddh 身材
hhdtg 物權
hhegi 身法
hheia 凡才淺識
hhfdj 物料
hhfep 簸揚糠秕
hhfgb 鼠牙雀角
hhfkc 物類
hhfym 牛刀小試
hhg 穢土
hhgcy 銜沙填海
hhgfc 生炒熱賣
hhhdg 物種
hhhdo 動物學家
hhhfw 鵠形鳥面
hhhhs 身軀
hhhje 身段
hhhlc 物質
hhhmb 秭歸
hhhmj 顧盼生輝
hhhmv 顧盼生姿
hhhne 秘笈
hhhnr 釋紛利俗
hhhoe 物役
hhhoe 身後
hhhon 穢行
hhhqh 穢物
hhhqi 稱觴舉壽
hhhru 各形各色
hhhsr 動刀動槍
hhhug 顧盼自雄
hhhuo 顧盼自豪
hhhuq 顧影自憐
hhhur 反身自問
hhic 竹簾
hhikf 身為
hhilo 顧盼神飛
hhiob 拜賜之師
hhisg 積沙成灘
hhisn 積少成多
hhisr 積沙成塔
hhj 第十
hhjch 身穿
hhjdk 身教
hhjhp 第宅
hhjmi 重財輕義
hhjmo 身家
hhjng 牛刀割雞
hhjpu 秘密
hhjr 竹管
hhjrk 身故
hhjvo 印第安人
hhkbu 生財有道
hhkn 第九
hhkni 愁腸九轉
hhks 物力
hhlan 秘書處
hhlav 秘書長
hhlcm 貿易順差
hhlga 秘書
hhlk 穢史
hhlp 貿易中心
hhlv 竹簍
hhm 第一
hhmai 千歲一時
hhmar 愁腸百結
hhmcs 物資局
hhmdm 第五
hhmeu 第一流
hhmgb 箭穿雁嘴
hhmgd 物理學
hhmgf 物理系
hhmgg 物理
hhmgl 衡陽雁斷
hhmio 魄蕩魂飛
hhmiu 魄蕩魂搖
hhmj 竹竿
hhmjd 稱物平施
hhmm 第二
hhmma 第三者
hhmmj 身歷聲
hhmmm 第三
hhmmo 第一次
hhmnr 第一名
hhmoc 物資
hhmq 第一手
hhmth 身形
hhmtn 瓜分豆剖
hhmtv 顧影弄姿
hhmun 風刀霜劍
hhmve 第一線
hhmyh 第一步
hhnao 物象
hhnau 物色
hhnd 身子
hhniy 身外
hhnnv 顧盼多姿
hhnnw 簡切了當
hhnsd 身孕
hhnwa 秘魯
hhoch 身份
hhofb 千歲鶴歸
hhofj 與物無忤
hhofu 與物無競
hhohd 徊腸傷氣
hhohq 物件
hhoht 身份證
hhoi 竹筏
hhom 竹籤
hhomc 物價
hhomc 身價
hhond 穢氣
hhop 物化
hhopb 秀才人情
hhopd 生物化學
hhorg 行易知難
hhorh 射影含沙
hhp 第七
hhp 身心
hhpa 竹筍
hhpgk 鬼形怪狀
hhpt 身世
hhq 身手
hhqel 簞醪投川
hhqim 算沙摶空
hhqkh 移形換步
hhqkh 移步換形
hhqmy 身毒
hhqrc 失物招領
hhqug 翻腸攪肚
hhrrc 生財器具
hhrrr 物品
hhsjr 身居
hhsmv 身長
hhst 竹籃
hhsut 卑身屈體
hhsy 竹扉
hhtas 等身著作
hhtbk 千形萬狀
hhtbn 千刀萬剮
hhtbn 千刀萬剁
hhtcb 德才兼備
hhtcc 物傷其類
hhtdu 鵠形菜色
hhtgd 自身難保
hhtgr 箭穿著雁口
hhtll 學步邯鄲
hhtpe 鳳陽花鼓
hhtxc 身兼
hhtxd 重修舊好
hhtxk 和穆蕭尹
hhuuh 科第出身
hhuur 貿易出超
hhvgv 舉步維艱
hhvlh 貿易糾紛
hhwc 第四
hhwcg 第四臺
hhwfb 積歲累月
hhxc 竹輿
hhyc 第六
hhycp 第六感
hhyfn 貿易談判
hhyg 物主
hhyg 竹籬
hhygh 得步進步
hhyhs 身邊
hhyhs 秘方
hhykk 物物交換
hhykm 物產
hhym 身上
hhymi 稱觴上壽
hhymn 颺湯止沸
hhyp 竹籠
hhypn 身處
hhyrb 身高
hhyri 物議
hhyrk 秘訣
hhyrr 穢語
hhyrr 物語
hhyrt 物證
hhysk 篤初誠美
hhyt 竹笠
hhyuk 移易遷變
hhyum 貿易逆差
hhyv 身亡
hhyvn 徒步旅行
hiagi 得時
hiam 待旦
hiamg 等量
hian 射門
hianb 等閒
hiant 鬼門關
hibbt 得體
hibce 私販
hibdc 白蟻爭穴
hibfs 得勝
hibir 鬼胎
hibjj 我軍
hibmr 等同
hibmr 風雲月露
hiboo 鬼臉
hibq 得用
hibq 私用
hibup 鬼見愁
hibuu 私見
hicbf 戶封八縣
hicop 私慾
hicro 私欲
hicsh 等分
hicsh 得分
hidam 待查
hidfo 得標人
hidfu 釋縛焚櫬
hidh 鬼才
hidhu 學淺才疏
hidm 簿本
hidmf 得標
hidoi 自我檢討
hidoo 得來
hidoo 特來
hidrj 舟楫
hidtg 特權
hidtg 私權
hieap 鬼混
hiebp 與時消息
hieee 自討沒趣
hiefi 秉公滅私
hiegi 得法
hiegi 私法
hiehv 特派
hiemf 射源
hiemw 私酒
hiete 等溫線
hieue 行雲流水
hievc 特派員
hieye 私淑
hieyg 箋注
hieyo 白令海峽
hif 鬼火
hifbw 得當
hifbw 的當
hifcw 自尋煩惱
hifdb 射精
hiffr 私營
hifkp 待斃
hifng 么麼小丑
higcf 白兔赤烏
higck 特赦
higfo 籌款
higis 得勢
higje 特報
higp 得志
higpa 利令志惛
higpd 特地
higvi 失魂喪魄
higvr 失魂喪膽
higwc 特賣
hihad 私梟
hihal 符節
hihal 鬼節
hihbt 籌算
hihbu 私自
hihdb 籌策
hihdb 特稿
hihdb 特稱
hihdg 特種
hihdg 射程
hihdn 得利
hihdn 私利
hihdp 得悉
hihee 我藝黍稷
hiheu 自我反省
hihgc 特種兵
hihgi 等等
hihgi 特等
hihgi 我等
hihid 鬼魅
hihim 秉燭待旦
hihio 得寸得尺
hihke 白玉微瑕
hihke 白璧微瑕
hihlc 特質
hihmd 私生子
hihmr 私生活
hihnh 等第
hihnp 乘雲行泥
hihnv 特製
hihoi 等待
hihok 魏徵
hihok 特徵
hihon 私行
hihop 私德
hihov 得很
hihpl 私印
hihqh 鬼物
hihqh 待物
hihqo 得失
hihrb 舟師
hihsi 私房錢
hihsm 自我犧牲
hihss 私房
hihss 反射動作
hihtn 射箭
hihug 學齡兒童
hihun 自私自利
hihur 衒玉自售
hihva 籌委會
hihxh 等身
hihxu 么兒
hiicc 自找麻煩
hiici 么麼
hiicv 節義廉退
hiidb 積讒糜骨
hiiek 得救
hiier 衒玉求售
hiifl 鬼神
hiikx 冬令救濟
hiimg 特准
hiimy 私底下
hiiop 符應
hiiop 風雲之志
hiiop 風樹之悲
hiipm 等式
hiipq 德薄能鮮
hiirb 積讒磨骨
hijbm 得宜
hijbv 私囊
hijcu 自我實現
hije 特支
hijeq 射擊
hijhf 特寫
hijhr 待客
hijid 待兔守株
hijip 特惠
hijjj 特輯
hijkk 風雲突變
hijkn 鬼故事
hijks 特考
hijln 私事
hijmg 私室
hijmh 重義輕財
hijmm 重義輕生
hijmn 重義輕利
hijmo 特定
hijmo 私家
hijmo 我家
hijnd 待字
hijsm 自我考查
hijsm 升等考試
hijub 烏雲密佈
hijub 烏雲密布
hijun 管蠡窺測
hijwj 舟車
hijyp 得寵
hik 特大
hik 私大
hikb 特有
hikb 私有
hikbd 私有地
hikbi 特有的
hikbn 私有制
hikbo 後繼有人
hikce 射殺
hikhv 射獵
hikjt 私奔
hiklg 待在
hikmb 得病
hikoi 篡奪
hikru 特大號
hiks 魄力
hiks 得力
hiksg 身強力壯
hikyb 彼得大帝
hilgm 籌畫
hilmi 鬼畫符
hilmn 籌劃
hiln 私鬥
hilnr 自愧弗如
hilp 自我中心
hilpl 牛鬼蛇神
hilvk 得數
hilyj 我輩
him 特工
himan 千伶百俐
himbs 待機而動
himcr 衒玉賈石
himdm 特殊性
himeb 翻雲覆雨
himee 鳳冠霞帔
himej 冬蟲夏草
himfe 等不及
himfn 得不到
himfn 徒法不行
himfp 自強不息
himg 鬼王
himge 等壓線
himgn 籌到
himgn 等到
himgn 得到
himgn 射到
himgn 待到
himii 鬼魂
himiq 風燭殘年
himj 射干
himjn 特刊
himjq 反戈一擊
himko 特攻隊
himkr 私吞
himkr 生奪硬搶
himla 自樹一幟
himmk 白璧三獻
himmo 等次
himmy 等一下
himnd 特殊
himoa 等一會
himoc 籌資
himrf 籌碼
himrg 的確
himrj 魏碑
himtn 私刑
himwf 得票
himy 私下
himyr 各執一詞
hinau 特色
hinbg 等角
hincu 銜冤負屈
hind 簿子
hind 鬼子
hineh 利時及物
hinep 衝冠發怒
hinfa 風雲際會
hinhs 特務
hinii 特強
hinir 得名
hinkq 籌建
hinn 得了
hinob 么弦孤韵
hinqb 自我解嘲
hinru 私名號
hints 鳥得弓藏
hinuj 自我陶醉
hinup 私怨
hinwf 射魚
hio 等人
hio 得人
hio 私人
hio 我人
hioaa 利令智昏
hioan 我們
hioan 與時偕行
hioba 籌備會
hiobn 籌備處
hiocg 與時俱進
hiocr 特價品
hiofe 白璧無瑕
hiofo 後繼無人
hiofs 後繼無力
hiogd 籌集
hiogd 特集
hiogm 秉公任直
hiogr 特任官
hiohg 特任
hiohh 風雲人物
hiojk 特使
hiojm 等值
hiokn 私仇
hiokr 得知
hiolk 等候
hioma 待會
hioma 私會
hiomb 我倆
hiomc 等價
hiomc 特價
hiome 特優
hiomk 得便
hioml 符命
hioml 特命
hioml 待命
hiomn 特例
hiomr 符合
hionk 等侯
hiop 等化
hiopc 私貨
hioqc 私債
hioqt 徇私舞弊
hiosk 自我作故
hiosr 自我作古
hiost 徇私作弊
hiotb 籌備
hiotu 自尋短見
hioyt 篡位
hip 私心
hipeg 鬼怪
hiphm 特性
hiphs 愁雲慘霧
hipp 等比
hipqb 私情
hiptu 得慌
hiq 得手
hiq 射手
hiqbu 白璧青蠅
hiqdu 留得青山在，不怕沒柴燒
hiqdu 留得青山在，不愁沒柴燒
hiqdu 留得青山在，依舊有柴燒
hiqew 特技團
hiqgn 與時推移
hiqgr 鬼推磨
hiqje 特技
hiqne 籌撥
hiqns 乘機打劫
hiqpj 自我批評
hiqta 籌措
hiqui 鬼把戲
hirav 么喝
hirkq 鳳儀獸舞
hirms 等距
hirni 特別法
hirpp 風雲叱吒
hirrn 符咒
hirsn 特別
hirsu 符號
hirsu 等號
hiryd 筆伐口誅
hisfo 符驗
hismg 鬼屋
hismv 特長
hispb 鬼聰明
hisrr 特區
histv 特展
hisu 私己
hisuk 篡改
hisuu 各持己見
hisuu 各執己見
hiswt 私鹽
hiswu 特約醫院
hitas 籌募
hitbj 自我期許
hitbp 千齡萬代
hitbr 千村萬落
hitcb 等期
hitcd 自得其樂
hitcl 螽斯
hitcl 各得其所
hitcm 各得其宜
hitct 私益
hitfp 動魄驚心
hithi 失魂蕩魄
hitis 私藏
hitqm 等差
hitri 失魂落魄
hitrn 自討苦吃
hitrn 自找苦吃
hitrr 白雲蒼狗
hitrs 失時落勢
hittw 種玉藍田
hiu 舟山
hiucr 牧隗山谷
hiuff 鬼鬼祟祟
hiune 私函
hiuu 得出
hiuu 特出
hiuu 射出
hiuuf 鬼祟
hiuuo 射出來
hiuuo 看得出來
hivaa 私娼
hivdo 管絃樂隊
hivfc 待續
hivfe 等級
hivfe 特級
hivfe 射線
hivfi 特約
hivfm 籌組
hivfm 鵠峙鸞翔
hivfn 鵠峙鸞停
hivfp 箋紙
hivik 得獎
hivik 特獎
hivio 得以
hivko 得獎人
hivkp 風雲變態
hivks 風雲變幻
hivku 風雲變色
hivku 黏恡繳繞
hivpe 衝冠怒發
hivru 從令如流
hiw 私田
hiwcm 特異性
hiwfa 積時累日
hiwfr 鬼黠
hiwfr 特點
hiwgl 白俄羅斯
hiwim 魏國
hiwim 我國
hiwly 得罪
hiwly 待罪
hiwol 射界
hiwtc 特異
hiwvf 私累
hiybe 等高線
hiybo 自我肯定
hiycb 籌商
hiyck 私交
hiydl 等速
hiygb 冬令進補
hiygg 德尊望重
hiygi 自我主義
hiygo 得寸進尺
hiygp 鬼主意
hiyhc 射頻
hiyhs 我方
hiyig 私塾
hiyjc 特許費
hiyjg 特許權
hiyjj 籌辦
hiykd 特效藥
hiykd 秉燭夜遊
hiykk 特效
hiykm 特產
hiykm 待產
hiykm 私產
hiylr 特遣
hiym 等上
hiymg 待產室
hiymp 特此
hiynb 私通
hiyng 秉公處理
hiypb 得兔忘蹄
hiypn 私處
hiypq 鳳附龍攀
hiyqo 簡約詳核
hiyrb 等高
hiyrc 特選
hiyrd 籌謀
hiyre 籌設
hiyrg 得逞
hiyri 籌議
hiyrj 特許
hiyro 特遣隊
hiyrr 鬼話
hiyrr 的話
hiyrr 私語
hiyrr 私話
hiyrs 私訪
hiyru 簿記
hiysy 等於
hiyt 私立
hiytj 私章
hiytp 得意
hiytp 特意
hiytp 私意
hiytu 得道
hiytu 鬼道
hiyud 行將就木
hiyuk 移樽就教
hiyun 移的就箭
hiyur 白雲親捨
hiyuv 衝冠眥裂
hiywb 待遇
hjabf 簡單明瞭
hjabt 拜盟
hjag 段幹.百里
hjage 千軍易得，一將難求
hjahm 魁星
hjan 拜門
hjavm 千日紅
hjbbj 拜辭
hjbci 卑賤
hjbeu 稗耳販目
hjbj 竹南
hjbkf 釋然
hjbof 拜祭
hjbu 科目
hjbum 鼾睡
hjbuu 拜見
hjbuv 科目表
hjc 拜金
hjc 千金
hjchm 秤錘
hjcir 航運公司
hjcop 我醉欲眠
hjcpr 秤鉤
hjdaj 秤桿
hjdbu 拜相
hjdmr 魁梧
hjeep 風平波息
hjeit 風華濁世
hjevc 風萍浪跡
hjevd 風平浪靜
hjfbg 拜堂
hjfhs 卑劣
hjfjk 拜火教
hjfrp 升斗小民
hjfsc 舟車勞頓
